BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
3,1,Forced Air,1,5,1903.0,1982,980000.0,2526.0,3 Story,Row End,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,0,24,2095,Ward 1,2016.0,1
2,1,Hot Water Rad,0,3,1910.0,1967,850000.0,1560.0,2 Story,Row Inside,Above Average,4,Common Brick,Metal- Sms,Hardwood,2,0,24,1403,Ward 1,2016.0,1
2,0,Hot Water Rad,1,3,1910.0,1967,650000.0,1702.0,2 Story,Row Inside,Above Average,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1667,Ward 1,2010.0,1
3,1,Hot Water Rad,1,4,1910.0,1967,785000.0,1702.0,2 Story,Row Inside,Above Average,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1500,Ward 1,2012.0,1
3,1,Forced Air,1,3,1979.0,1991,610000.0,1274.0,2 Story,Multi,Above Average,4,Common Brick,Comp Shingle,Hardwood,2,1,23,1151,Ward 1,2010.0,1
1,1,Warm Cool,1,3,1923.0,1969,991000.0,1760.0,2 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Hardwood,1,0,11,1536,Ward 1,2016.0,1
1,2,Hot Water Rad,0,4,1923.0,1986,715000.0,2230.0,2 Story,Single,Good Quality,3,Common Brick,Built Up,Hardwood,1,1,11,1845,Ward 1,2010.0,1
2,1,Forced Air,1,4,1922.0,1982,898000.0,1620.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1510,Ward 1,2016.0,1
3,1,Forced Air,1,4,1912.0,1969,878750.0,1940.0,2.5 Story Fin,Row End,Good Quality,3,Common Brick,Built Up,Hardwood,2,1,24,2067,Ward 1,2016.0,1
3,1,Hot Water Rad,1,4,1912.0,1986,1053300.0,1628.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2067,Ward 1,2013.0,1
3,1,Warm Cool,1,5,1913.0,1969,835000.0,2346.0,3 Story,Row End,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,1,11,2615,Ward 1,2010.0,1
